Company,Days_Observed,Crosses,True_Positive,False_Positive,True_Negative,False_Negative,Sensitivity,Specificity,Accuracy,TPR,FPR
AAPL,3735,281,86,67,74,54,0.6142857142857143,0.524822695035461,0.5693950177935944,0.6142857142857143,0.475177304964539
ABBV,2017,162,50,53,28,31,0.6172839506172839,0.345679012345679,0.48148148148148145,0.6172839506172839,0.654320987654321
ABT,7719,684,172,207,135,170,0.5029239766081871,0.39473684210526316,0.44883040935672514,0.5029239766081871,0.6052631578947368
ACN,4897,400,111,117,83,89,0.555,0.415,0.485,0.555,0.585
ADBE,7583,647,167,183,141,156,0.5170278637770898,0.4351851851851852,0.4760432766615147,0.5170278637770898,0.5648148148148149
AMZN,5914,461,136,128,103,94,0.591304347826087,0.4458874458874459,0.5184381778741866,0.591304347826087,0.5541125541125541
ASML,6438,538,144,146,123,125,0.5353159851301115,0.45724907063197023,0.4962825278810409,0.5353159851301115,0.5427509293680297
AVGO,2874,221,48,54,57,62,0.43636363636363634,0.5135135135135135,0.4751131221719457,0.43636363636363634,0.4864864864864865
BABA,1585,148,34,44,30,40,0.4594594594594595,0.40540540540540543,0.43243243243243246,0.4594594594594595,0.5945945945945945
BAC,8502,635,185,150,167,133,0.5817610062893082,0.526813880126183,0.5543307086614173,0.5817610062893082,0.473186119873817
BHP,7688,609,153,153,151,152,0.5016393442622951,0.4967105263157895,0.49917898193760263,0.5016393442622951,0.5032894736842105
CMCSA,6684,550,152,147,128,123,0.5527272727272727,0.46545454545454545,0.509090909090909,0.5527272727272727,0.5345454545454545
COST,8695,729,179,189,175,186,0.4904109589041096,0.4807692307692308,0.48559670781893005,0.4904109589041096,0.5192307692307692
CRM,4164,337,89,82,86,80,0.5266272189349113,0.5119047619047619,0.5192878338278932,0.5266272189349113,0.48809523809523814
CSCO,6435,527,152,123,141,111,0.5779467680608364,0.5340909090909091,0.5559772296015181,0.5779467680608364,0.46590909090909094
CVX,7837,627,174,174,140,139,0.5559105431309904,0.445859872611465,0.5007974481658692,0.5559105431309904,0.554140127388535
DHR,6282,538,139,152,117,130,0.516728624535316,0.4349442379182156,0.4758364312267658,0.516728624535316,0.5650557620817844
DIS,8784,728,195,205,159,169,0.5357142857142857,0.4368131868131868,0.48626373626373626,0.5357142857142857,0.5631868131868132
FB,2172,174,45,51,36,42,0.5172413793103449,0.41379310344827586,0.46551724137931033,0.5172413793103449,0.5862068965517242
GOOG,4124,313,99,88,69,57,0.6346153846153846,0.4394904458598726,0.536741214057508,0.6346153846153846,0.5605095541401274
GOOGL,4124,323,102,89,73,59,0.6335403726708074,0.4506172839506173,0.541795665634675,0.6335403726708074,0.5493827160493827
HD,7544,637,173,154,165,145,0.5440251572327044,0.5172413793103449,0.5306122448979592,0.5440251572327044,0.48275862068965514
INTC,7021,576,134,154,134,154,0.4652777777777778,0.4652777777777778,0.4652777777777778,0.4652777777777778,0.5347222222222222
JNJ,8602,707,169,176,177,185,0.4774011299435028,0.5014164305949008,0.4893917963224894,0.4774011299435028,0.4985835694050992
JPM,9489,758,232,194,185,147,0.6121372031662269,0.48812664907651715,0.5501319261213721,0.6121372031662269,0.5118733509234829
KO,7428,628,173,176,138,141,0.5509554140127388,0.4394904458598726,0.49522292993630573,0.5509554140127388,0.5605095541401274
LLY,8879,705,175,189,164,177,0.4971590909090909,0.46458923512747874,0.4808510638297872,0.4971590909090909,0.5354107648725213
MA,3679,335,94,98,69,74,0.5595238095238095,0.41317365269461076,0.48656716417910445,0.5595238095238095,0.5868263473053892
MCD,8793,744,181,216,156,191,0.48655913978494625,0.41935483870967744,0.4529569892473118,0.48655913978494625,0.5806451612903225
MDT,7537,618,164,151,158,145,0.5307443365695793,0.511326860841424,0.5210355987055016,0.5307443365695793,0.488673139158576
MRK,8648,700,177,192,158,173,0.5057142857142857,0.4514285714285714,0.4785714285714286,0.5057142857142857,0.5485714285714286
MSFT,6688,525,147,154,109,115,0.5610687022900763,0.4144486692015209,0.4876190476190476,0.5610687022900763,0.5855513307984791
NEE,6351,546,144,170,103,129,0.5274725274725275,0.3772893772893773,0.4523809523809524,0.5274725274725275,0.6227106227106227
NFLX,4229,335,94,102,66,73,0.562874251497006,0.39285714285714285,0.47761194029850745,0.562874251497006,0.6071428571428572
NKE,5054,387,103,104,90,90,0.533678756476684,0.4639175257731959,0.49870801033591733,0.533678756476684,0.5360824742268041
NVDA,5337,426,113,106,107,100,0.5305164319248826,0.5023474178403756,0.5164319248826291,0.5305164319248826,0.4976525821596244
NVO,3733,297,75,72,77,73,0.5067567567567568,0.5167785234899329,0.5117845117845118,0.5067567567567568,0.4832214765100671
