Company,Days_Observed,Crosses,True_Positive,False_Positive,True_Negative,False_Negative,Sensitivity,Specificity,Accuracy,TPR,FPR
AMZN,1253,100,36,32,18,14,0.72,0.36,0.54,0.72,0.64
BABA,1253,126,28,41,22,35,0.4444444444444444,0.3492063492063492,0.3968253968253968,0.4444444444444444,0.6507936507936508
FB,1253,102,27,28,23,24,0.5294117647058824,0.45098039215686275,0.49019607843137253,0.5294117647058824,0.5490196078431373
GOOG,1253,103,35,30,21,17,0.6730769230769231,0.4117647058823529,0.5436893203883495,0.6730769230769231,0.5882352941176471
GOOGL,1253,111,38,31,24,18,0.6785714285714286,0.43636363636363634,0.5585585585585585,0.6785714285714286,0.5636363636363637
JNJ,1253,101,25,25,25,26,0.49019607843137253,0.5,0.49504950495049505,0.49019607843137253,0.5
JPM,1253,101,33,21,29,18,0.6470588235294118,0.58,0.6138613861386139,0.6470588235294118,0.42000000000000004
MSFT,1253,117,32,34,25,26,0.5517241379310345,0.423728813559322,0.48717948717948717,0.5517241379310345,0.576271186440678
TSLA,1253,97,26,22,26,23,0.5306122448979592,0.5416666666666666,0.5360824742268041,0.5306122448979592,0.45833333333333337
TSM,1253,95,31,26,21,17,0.6458333333333334,0.44680851063829785,0.5473684210526316,0.6458333333333334,0.5531914893617021
V,1253,111,26,39,16,30,0.4642857142857143,0.2909090909090909,0.3783783783783784,0.4642857142857143,0.7090909090909091
WMT,1253,111,28,35,20,28,0.5,0.36363636363636365,0.43243243243243246,0.5,0.6363636363636364
